Kod,Nazev,Kategorie
A269,Erysipeloid NS,Infekční a parazitární nemoci nezařazené jinde
A27,Leptospiróza,
A270,Leptospirosis icterohaemorrhagica,Sepse
A278,Ostatní formy leptospirózy,Infekční onemocnění nervové soustavy
A279,Leptospiróza NS,Infekční a parazitární nemoci nezařazené jinde
A28,Další bakteriální zoonózy nezařazené jinde,
A280,"Pasteurelóza, původce: Pasteurella multocida",Infekční a parazitární nemoci nezařazené jinde
A281,Nemoc kočičího škrábnutí,Zvětšení a zánět mízních uzlin
A282,Extraintestinální yersinióza,Infekční a parazitární nemoci nezařazené jinde
A288,Jiné určené bakteriální zoonózy NJ,Infekční a parazitární nemoci nezařazené jinde
A289,Zoonotická bakteriální nemoc NS,Infekční a parazitární nemoci nezařazené jinde
A30,Lepra – malomocenství (Hansenova nemoc),
A300,Lepra indeterminovaná,Infekční a parazitární nemoci nezařazené jinde
A301,Lepra tuberkuloidní,Infekční a parazitární nemoci nezařazené jinde
A302,Lepra hraniční tuberkuloidní,Infekční a parazitární nemoci nezařazené jinde
A303,Lepra hraniční,Infekční a parazitární nemoci nezařazené jinde
A304,Lepra hraniční lepromatózní,Infekční a parazitární nemoci nezařazené jinde
A305,Lepra lepromatózní,Infekční a parazitární nemoci nezařazené jinde
A308,Jiné formy lepry,Infekční a parazitární nemoci nezařazené jinde
A309,Lepra NS,Infekční a parazitární nemoci nezařazené jinde
A31,Nemoci způsobené jinými mykobakteriemi,
A310,Plicní mykobakteriální infekce,Záněty plic
A311,Kožní mykobakteriální infekce,Onemocnění kůže způsobená mikroorganismy a parazity
A318,Jiné mykobakteriální infekce,Infekční a parazitární nemoci nezařazené jinde
A319,Mykobakteriální infekce NS,Infekční a parazitární nemoci nezařazené jinde
A32,Listerióza [listeriosis],
A320,Listerióza kožní,Infekční a parazitární nemoci nezařazené jinde
A321,Listeriová meningitida a meningoencefalitida,Infekční onemocnění nervové soustavy
A327,Listeriová sepse,Sepse
A328,Jiné formy listeriózy,Infekční a parazitární nemoci nezařazené jinde
A329,Listerióza NS,Infekční a parazitární nemoci nezařazené jinde
A33,Tetanus novorozenců,Infekční a parazitární nemoci nezařazené jinde
A34,Tetanus porodnický,Poporodní a popotratové diagnózy
A35,Tetanus jiný,Infekční a parazitární nemoci nezařazené jinde
A36,Záškrt [diphtheria],
A360,Záškrt hltanu,"Záněty horních cest dýchacích, hltanu a hrtanu"
A361,Nosohltanový záškrt,"Záněty horních cest dýchacích, hltanu a hrtanu"
A362,Hrtanový záškrt,"Záněty horních cest dýchacích, hltanu a hrtanu"
A363,Kožní záškrt,Onemocnění kůže způsobená mikroorganismy a parazity
A368,Jiný záškrt,Infekční a parazitární nemoci nezařazené jinde
A369,Záškrt NS,Infekční a parazitární nemoci nezařazené jinde
A37,Dávivý kašel [pertussis],
A370,Dávivý kašel‚ původce: Bordetella pertussis,"Záněty průdušnice, průdušek a průdušinek"
A371,Dávivý kašel‚ původce: Bordetella parapertussis,"Záněty průdušnice, průdušek a průdušinek"
