Kod,Nazev,Kategorie
V5570,"Osoba vně dodávky, lehk.nákl.auta x vlak; provozní nehoda; sport",
V5571,"Osoba vně dodávky, lehk.nákl.auta x vlak; provozní nehoda; volný čas",
V5572,"Osoba vně dodávky, lehk.nákl.auta x vlak; provoz.nehoda; výděl.činnost",
V5573,"Osoba vně dodávky, lehk.nákl.auta x vlak; provozní nehoda; jiné práce",
V5574,"Osoba vně dodávky, lehk.nákl.auta x vlak; provoz.neh.; odpočinek,jídlo",
V5578,"Osoba vně dodávky,lehk.nákl.auta x vlak;provoz.neh.; jiné urč.činnosti",
V5579,"Osoba vně dodávky, lehk.nákl.auta x vlak; provozní nehoda; NS činnosti",
V559,"Neurčený člen osádky dodávky, lehk.nákl.auta x vlak; provozní nehoda",
V5590,"Neurč.člen dodávky,lehk.nákl.auta x vlak; provozní nehoda; sport",
V5591,"Neurč.člen dodávky,lehk.nákl.auta x vlak; provozní nehoda; volný čas",
V5592,"Neurč.člen dodávky,lehk.nákl.auta x vlak; provoz.nehoda; výděl.činnost",
V5593,"Neurč.člen dodávky,lehk.nákl.auta x vlak; provozní nehoda; jiné práce",
V5594,"Neurč.člen dodávky,lehk.nákl.auta x vlak; provoz.neh.; odpočinek,jídlo",
V5598,"Neurč.člen dodávky,lehk.nákl.auta x vlak;provoz.neh.;jiné urč.činnosti",
V5599,"Neurč.člen dodávky,lehk.nákl.auta x vlak; provozní nehoda; NS činnosti",
V56,Člen dodávky či lehk.nákl.auta zran. při srážce s jiným nemot.vozidlem,
V560,"Řidič dodávky, lehk.nákl.auta x jiné nemotor. vozidlo; neprovoz.nehoda",
V5600,"Řidič dodávky,lehk.nákl.auta x jiné nemotor.voz.; neprovoz.neh.; sport",
V5601,"Řidič dodávky,lehk.nákl.auta x jiné nemot.voz.;neprovoz.neh.;volný čas",
V5602,"Řidič dodávky,lehk.nákl.auta x j.nemot.voz.;neprov.neh.; výděl.činnost",
V5603,"Řidič dodávky, lehk.nákl.auta x j.nemot.voz.;neprovoz.neh.; jiné práce",
V5604,"Řidič dodávky,lehk.nákl.auta x j.nemot.voz.;neprovoz.neh.;odpoč.,jídlo",
V5608,"Řidič dodávky,lehk.nákl.auta x j.nemot.voz.;neprovoz.neh.; j.urč.činn.",
V5609,"Řidič dodávky,lehk.nákl.auta x j.nemot.voz.; neprovoz.neh.;NS činnosti",
V561,"Cestující z dodávky,lehk.nákl.auta x jiné nemotor.voz.; neprovoz.neh.",
V5610,"Cest.z dodávky,lehk.nákl.auta x jiné nemot.voz.; neprovoz.nehoda;sport",
V5611,"Cest.z dodávky,lehk.nákl.auta x j.nemot.voz.; neprovoz.neh.; volný čas",
V5612,"Cest.z dodávky,lehk.nákl.auta x j.nemot.voz.;neprov.neh.;výděl.činnost",
V5613,"Cest.z dodávky,lehk.nákl.auta x j.nemot.voz.; neprovoz.neh.;jiné práce",
V5614,"Cest.z dodávky,lehk.nákl.auta x j.nemot.voz.;neprov.neh.;odpoč.,jídlo",
V5618,"Cest.z dodávky,lehk.nákl.auta x j.nemot.voz.;neprov.neh.; j.urč.činn.",
V5619,"Cest.z dodávky,lehk.nákl.auta x j.nemot.voz.;neprovoz.neh.;NS činnosti",
V562,"Osoba vně dodávky, lehk.nákl.auta x jiné nemot.voz.; neprovozní nehoda",
V5620,"Os.vně dodávky,lehk.nákl.auta x jiné nemot.voz.; neprovoz.neh.; sport",
V5621,"Os.vně dodávky,lehk.nákl.auta x j.nemot.voz.; neprovoz.neh.; volný čas",
V5622,"Os.vně dodávky,lehk.nákl.auta x j.nemot.voz.;neprov.neh.;výděl.činnost",
V5623,"Os.vně dodávky,lehk.nákl.auta x j.nemot.voz.; neprovoz.neh.;jiné práce",
V5624,"Os.vně dodávky,lehk.nákl.auta x j.nemot.voz.; neprov.neh.;odpoč.,jídlo",
V5628,"Os.vně dodávky,lehk.nákl.auta x j.nemot.voz.;neprovoz.neh.;j.urč.činn.",
V5629,"Os.vně dodávky,lehk.nákl.auta x j.nemot.voz.;neprovoz.neh.;NS činnosti",
V563,"Neurč.člen dodávky,lehk.nákl.auta x jiné nemot.voz.; neprovoz.nehoda",
V5630,"Neurč.člen dodávky,lehk.nákl.auta x j.nemot.voz.; neprovoz.neh.; sport",
V5631,"Neurč.člen dodávky,lehk.nákl.auta x j.nemot.voz.;neprov.neh.;volný čas",
V5632,"Neurč.člen dodávky,leh.nák.auta x j.nemot.voz.;neprov.neh.;výděl.činn.",
V5633,"Neurč.člen dodávky,lehk.nák.auta x j.nemot.voz.;neprov.neh.;jiné práce",
V5634,"Neurč.člen dodáv.,leh.nák.auta x j.nemot.voz.;neprov.neh.;odpoč.,jídlo",
V5638,"Neurč.člen dodáv.,lehk.nák.auta x j.nemot.voz.;neprov.neh.;j.urč.činn.",
V5639,"Neurč.člen dodávky,lehk.nákl.auta x j.nemot.voz.;neprov.neh.; NS činn.",
V564,"Člen dodáv.,lehk.nák.auta zran.při nastup.či vystup. x jiné nemot.voz.",
V5640,"Člen dodávky,lehk.nákl.auta zran.při nast.,vyst. x j.nemot.voz.; sport",
V5641,"Člen dodáv.,leh.nák.auta zran.při nast.,vyst. x j.nemot.voz.;volný čas",
V5642,"Člen dod.,leh.nák.auta zran.při nast.,vyst. x j.nemot.voz.;výděl.činn.",
V5643,"Člen dodávky,lehk.nák.auta zran.při nast.,vyst. x j.nemot.voz.;j.práce",
V5644,"Člen dod.,leh.nák.auta zran.při nast.,vyst. x j.nemot.voz.;odpoč.,jíd.",
V5648,"Člen dod.,leh.nák.auta zran.při nast.,vyst. x j.nemot.voz.;j.urč.činn.",
V5649,"Člen dodáv.,lehk.nák.auta zran.při nast.,vyst. x j.nemot.voz.;NS činn.",
V565,"Řidič dodávky,lehk.nákl.auta x jiné nemot.voz.; provozní nehoda",
V5650,"Řidič dodávky,lehk.nákl.auta x jiné nemot.voz.; provoz.nehoda; sport",
V5651,"Řidič dodávky,lehk.nákl.auta x jiné nemot.voz.; provoz.neh.; volný čas",
V5652,"Řidič dodávky,lehk.nákl.auta x j.nemot.voz.;provoz.neh.; výděl.činnost",
V5653,"Řidič dodávky,lehk.nákl.auta x j.nemot.voz.; provoz.nehoda; jiné práce",
V5654,"Řidič dodávky,lehk.nákl.auta x j.nemot.voz.; provoz.neh.; odpoč.,jídlo",
V5658,"Řidič dodávky,lehk.nák.auta x j.nemot.voz.;provoz.neh.; j.urč.činnosti",
V5659,"Řidič dodávky,lehk.nákl.auta x j.nemot.voz.; provoz.neh.; NS činnosti",
V566,"Cestující z dodávky, lehk.nákl.auta x jiné nemotor.voz.; provoz.nehoda",
V5660,"Cest.z dodávky,lehk.nákl.auta x jiné nemot.voz.; provoz.nehoda; sport",
V5661,"Cest.z dodávky,lehk.nákl.auta x jiné nemot.voz.;provoz.neh.; volný čas",
V5662,"Cest.z dodávky,lehk.nákl.auta x j.nemot.voz.;provoz.neh.;výděl.činnost",
V5663,"Cest.z dodávky,lehk.nákl.auta x jiné nemot.voz.;provoz.neh.;jiné práce",
V5664,"Cest.z dodávky,lehk.nákl.auta x j.nemot.voz.; provoz.neh.;odpoč.,jídlo",
V5668,"Cest.z dodávky,lehk.nák.auta x j.nemot.voz.;provoz.neh.;j.urč.činnosti",
V5669,"Cest.z dodávky,lehk.nákl.auta x j.nemot.voz.;provoz.neh.; NS činnosti",
V567,"Osoba vně dodávky, lehk.nákl.auta x jiné nemotor.voz.; provozní nehoda",
V5670,"Os.vně dodávky, lehk.nákl.auta x j.nemot.voz.; provozní nehoda; sport",
V5671,"Os.vně dodávky, lehk.nákl.auta x j.nemot.voz.; provoz.neh.; volný čas",
V5672,"Os.vně dodávky,lehk.nák.auta x j.nemot.voz.;provoz.neh.; výděl.činnost",
V5673,"Os.vně dodávky,lehk.nákl.auta x jiné nemot.voz.;provoz.neh.;jiné práce",
V5674,"Os.vně dodávky,lehk.nákl.auta x j.nemot.voz.;provoz.neh.; odpoč.,jídlo",
V5678,"Os.vně dodávky,lehk.nák.auta x j.nemot.voz.;provoz.neh.;j.urč.činnosti",
V5679,"Os.vně dodávky, lehk.nákl.auta x j.nemot.voz.;provoz.neh.; NS činnosti",
V569,"Neurč.člen dodávky, lehk.nákl.auta x jiné nemotor.voz.;provozní nehoda",
V5690,"NS člen dodávky,lehk.nákl.auta x jiné nemot.voz.;provoz.neh.; sport",
V5691,"NS člen dodávky,lehk.nákl.auta x j.nemot.voz.; provoz.neh.; volný čas",
V5692,"NS člen dodávky,lehk.nák.auta x j.nemot.voz.;provoz.neh.;výděl.činnost",
V5693,"NS člen dodávky,lehk.nák.auta x j.nemot.voz.; provoz.neh.; jiné práce",
V5694,"NS člen dodávky,lehk.nákl.auta x j.nemot.voz.;provoz.neh.;odpoč.,jídlo",
V5698,"NS člen dodávky,lehk.nákl.auta x j.nemot.voz.;provoz.neh.; j.urč.činn.",
V5699,"NS člen dodávky,lehk.nákl.auta x j.nemot.voz.;provoz.neh.; NS činnosti",
V57,"Člen osádky dodávky,lehk.nákl.auta zran. při srážce s pevnou překážkou",
V570,"Řidič dodávky, lehk.nákl.auta x pevná překážka; neprovozní nehoda",
V5700,"Řidič dodávky, lehk.nákl.auta x pevná přek.; neprovoz.neh.; sport",
V5701,"Řidič dodávky, lehk.nákl.auta x pevná přek.; neprovoz.neh.; volný čas",
V5702,"Řidič dodávky,lehk.nákl.auta x pevná přek.;neprovoz.neh.;výděl.činnost",
V5703,"Řidič dodávky, lehk.nákl.auta x pevná přek.; neprovoz.neh.; jiné práce",
V5704,"Řidič dodávky,lehk.nákl.auta x pevná přek.;neprovoz.neh.; odpoč.,jídlo",
V5708,"Řidič dodávky,lehk.nák.auta x pevná přek.;neprovoz.neh.;j.urč.činnosti",
V5709,"Řidič dodávky, lehk.nákl.auta x pevná přek.;neprovoz.neh.; NS činnosti",
V571,"Cestující z dodávky, lehk.nákl.auta x pevná překážka;neprovozní nehoda",
V5710,"Cest.z dodávky,lehk.nákl.auta x pevná přek.; neprovoz.nehoda; sport",
V5711,"Cest.z dodávky,lehk.nákl.auta x pevná přek.;neprovoz.nehoda; volný čas",
V5712,"Cest.z dodávky,lehk.nák.auta x pevná přek.;neprovoz.neh.;výděl.činnost",
V5713,"Cest.z dodávky,lehk.nákl.auta x pevná přek.;neprovoz.neh.; jiné práce",
V5714,"Cest.z dodávky,lehk.nákl.auta x pevná přek.;neprovoz.neh.;odpoč.,jídlo",
V5718,"Cest.z dodáv.,lehk.nák.auta x pevná přek.;neprovoz.neh.;j.urč.činnosti",
V5719,"Cest.z dodávky,lehk.nákl.auta x pevná přek.;neprovoz.neh.; NS činnosti",
V572,"Osoba vně dodávky, lehk.nákl.auta x pevná překážka; neprovozní nehoda",
V5720,"Os.vně dodávky,lehk.nákl.auta x pevná přek.; neprovoz.nehoda; sport",
V5721,"Os.vně dodávky,lehk.nákl.auta x pevná přek.; neprovoz.nehoda;volný čas",
V5722,"Os.vně dodávky,lehk.nák.auta x pevná přek.;neprovoz.neh.;výděl.činnost",
V5723,"Os.vně dodávky,lehk.nákl.auta x pevná přek.; neprovoz.neh.; jiné práce",
V5724,"Os.vně dodávky,lehk.nákl.auta x pevná přek.;neprovoz.neh.;odpoč.,jídlo",
V5728,"Os.vně dodáv.,lehk.nák.auta x pevná přek.;neprovoz.neh.;j.urč.činnosti",
V5729,"Os.vně dodávky,lehk.nák.auta x pevná přek.;neprovoz.nehoda;NS činnosti",
V573,"Neurč.člen osádky dodávky,lehk.nák.auta x pevná překážka;neprovoz.neh.",
V5730,"NS člen dodávky,lehk.nákl.auta x pevná překážka;neprovoz.nehoda; sport",
V5731,"NS člen dodávky,lehk.nákl.auta x pevná přek.; neprovoz.neh.; volný čas",
V5732,"NS člen dodáv.,lehk.nák.auta x pevná přek.;neprovoz.neh.;výděl.činnost",
V5733,"NS člen dodávky,lehk.nákl.auta x pevná přek.;neprovoz.neh.; jiné práce",
V5734,"NS člen dodávky,lehk.nák.auta x pevná přek.;neprovoz.neh.;odpoč.,jídlo",
V5738,"NS člen dodávky,lehk.nákl.auta x pevná přek.;neprovoz.neh.;j.urč.činn.",
V5739,"NS člen dodávky,lehk.nákl.auta x pevná přek.;neprovoz.neh.;NS činnosti",
V574,"Člen dodávky,lehk.nákl.auta zran.při nastup.nebo vystup. x pevná přek.",
V5740,"Člen dodávky,lehk.nákl.auta zran.při nastup.,vyst. x pevná přek.;sport",
V5741,"Člen dodávky,lehk.nákl.auta zran.při nast.,vyst. x pev.přek.;volný čas",
V5742,"Čl.dodávky,lehk.nák.auta zran.při nast.,vyst. x pev.přek.; výděl.činn.",
V5743,"Člen dodávky,lehk.nákl.auta zran.při nast.,vyst. x pevná přek.;j.práce",
V5744,"Čl.dodávky,lehk.nák.auta zran.při nast.,vyst. x pev.přek.;odpoč.,jídlo",
V5748,"Čl.dodávky,lehk.nákl.auta zran.při nast.,vyst. x pev.přek.;j.urč.činn.",
V5749,"Čl.dodávky,lehk.nákl.auta zran.při nast.,vyst. x pev.přek.;NS činnosti",
V575,"Řidič dodávky, lehk.nákl.auta x pevná překážka; provozní nehoda",
V5750,"Řidič dodávky, lehk.nákl.auta x pevná přek.; provoz.neh.; sport",
V5751,"Řidič dodávky, lehk.nákl.auta x pevná přek.; provoz.neh.; volný čas",
V5752,"Řidič dodávky,lehk.nákl.auta x pevná přek.;provoz.neh.;výděl.činnost",
V5753,"Řidič dodávky, lehk.nákl.auta x pevná přek.; provoz.neh.; jiné práce",
V5754,"Řidič dodávky,lehk.nákl.auta x pevná přek.;provoz.neh.; odpoč.,jídlo",
V5758,"Řidič dodávky,lehk.nák.auta x pevná přek.;provoz.neh.;j.urč.činnosti",
V5759,"Řidič dodávky, lehk.nákl.auta x pevná přek.;provoz.neh.; NS činnosti",
V576,"Cestující z dodávky, lehk.nákl.auta x pevná překážka;provozní nehoda",
V5760,"Cest.z dodávky,lehk.nákl.auta x pevná přek.; provoz.nehoda; sport",
V5761,"Cest.z dodávky,lehk.nákl.auta x pevná přek.;provoz.nehoda; volný čas",
V5762,"Cest.z dodávky,lehk.nákl.auta x pevná přek.;provoz.neh.;výděl.činnost",
V5763,"Cest.z dodávky,lehk.nákl.auta x pevná přek.;provoz.neh.; jiné práce",
V5764,"Cest.z dodávky,lehk.nákl.auta x pevná přek.;provoz.neh.;odpoč.,jídlo",
V5768,"Cest.z dodáv.,lehk.nákl.auta x pevná přek.;provoz.neh.;j.urč.činnosti",
V5769,"Cest.z dodávky,lehk.nákl.auta x pevná přek.;provoz.neh.; NS činnosti",
V577,"Osoba vně dodávky, lehk.nákl.auta x pevná překážka; provozní nehoda",
V5770,"Os.vně dodávky,lehk.nákl.auta x pevná přek.; provoz.nehoda; sport",
V5771,"Os.vně dodávky,lehk.nákl.auta x pevná přek.; provoz.nehoda;volný čas",
V5772,"Os.vně dodávky,lehk.nákl.auta x pevná přek.;provoz.neh.;výděl.činnost",
V5773,"Os.vně dodávky,lehk.nákl.auta x pevná přek.; provoz.neh.; jiné práce",
V5774,"Os.vně dodávky,lehk.nákl.auta x pevná přek.;provoz.neh.;odpoč.,jídlo",
V5778,"Os.vně dodávky,lehk.nákl.auta x pevná přek.;provoz.neh.;j.urč.činnosti",
V5779,"Os.vně dodávky,lehk.nákl.auta x pevná přek.;provoz.nehoda;NS činnosti",
V579,"Neurč.člen osádky dodávky,lehk.nákl.auta x pevná překážka;provoz.neh.",
V5790,"NS člen dodávky,lehk.nákl.auta x pevná překážka;provoz.nehoda; sport",
V5791,"NS člen dodávky,lehk.nákl.auta x pevná přek.; provoz.neh.; volný čas",
V5792,"NS člen dodávky,lehk.nákl.auta x pevná přek.;provoz.neh.;výděl.činnost",
V5793,"NS člen dodávky,lehk.nákl.auta x pevná přek.;provoz.neh.; jiné práce",
V5794,"NS člen dodávky,lehk.nákl.auta x pevná přek.;provoz.neh.;odpoč.,jídlo",
V5798,"NS člen dodávky,lehk.nákl.auta x pevná přek.;provoz.neh.;j.urč.činn.",
V5799,"NS člen dodávky,lehk.nákl.auta x pevná přek.;provoz.neh.;NS činnosti",
V58,"Člen osádky dodávky, lehk.nákl.auta zraněný při dopr.nehodě bez srážky",
V580,"Řidič dodávky, lehk.nákl.auta zraněný při neprovozní nehodě bez srážky",
V5800,"Řidič dodávky,lehk.nákl.auta zraněný při neprovoz.neh.bez srážky;sport",
V5801,"Řidič dodávky,lehk.nák.auta zran.při neprovoz.neh.bez srážky;volný čas",
V5802,"Řidič dodávky,lehk.nák.auta zran.při neprov.neh.bez srážky;výděl.činn.",
V5803,"Řidič dodávky,lehk.nákl.auta zran.při neprov.neh.bez srážky;jiné práce",
V5804,"Řidič dodáv.,lehk.nák.auta zran.při neprov.neh.bez srážky;odpoč.,jídlo",
V5808,"Řidič dodáv.,lehk.nák.auta zran.při neprov.neh. bez srážky;j.urč.činn.",
V5809,"Řidič dodávky,lehk.nákl.auta zran.při neprovoz.neh.bez srážky;NS činn.",
V581,"Cestující z dodávky, lehk.nákl.auta zran. při neprovoz.neh. bez srážky",
V5810,"Cest.z dodávky,lehk.nákl.auta zran.při neprovoz.neh. bez srážky; sport",
V5811,"Cest.z dodáv.,lehk.nák.auta zran.při neprovoz.neh.bez srážky;volný čas",
V5812,"Cest.z dodáv.,lehk.nák.auta zran.při neprov.neh.bez srážky;výděl.činn.",
V5813,"Cest.z dodávky,lehk.nák.auta zran.při neprovoz.neh.bez srážky; j.práce",
V5814,"Cest.z dodáv.,lehk.nák.auta zran.při neprov.neh.bez srážky;odpoč.,jíd.",
V5818,"Cest.z dodáv.,lehk.nák.auta zran.při neprov.neh.bez srážky;j.urč.činn.",
V5819,"Cest.z dodávky,lehk.nák.auta zran.při neprovoz.neh.bez srážky;NS činn.",
V582,"Osoba vně dodávky,lehk.nákl.auta zran.při neprovozní nehodě bez srážky",
V5820,"Os.vně dodávky,lehk.nákl.auta zran.při neprovoz.neh.bez srážky; sport",
V5821,"Os.vně dodávky,lehk.nákl.auta zran.při neprov.neh.bez srážky;volný čas",
V5822,"Os.vně dodáv.,lehk.nák.auta zran.při neprov.neh.bez srážky;výděl.činn.",
V5823,"Os.vně dodávky,lehk.nákl.auta zran.při neprovoz.neh.bez srážky;j.práce",
V5824,"Os.vně dodáv.,lehk.nák.auta zran.při neprov.neh.bez srážky;odpoč.,jíd.",
V5828,"Os.vně dodáv.,lehk.nák.auta zran.při neprov.neh.bez srážky;j.urč.činn.",
V5829,"Os.vně dodávky,lehk.nákl.auta zran.při neprov.neh.bez srážky; NS činn.",
V583,"Neurč. člen dodávky, lehk.nákl.auta zran.při neprovozní neh.bez srážky",
V5830,"NS člen dodávky,lehk.nákl.auta zran.při neprovoz.neh.bez srážky; sport",
V5831,"NS člen dodávky,lehk.nák.auta zran.při neprov.neh.bez srážky;volný čas",
V5832,"NS čl.dodávky,lehk.nák.auta zran.při neprov.neh.bez srážky;výděl.činn.",
V5833,"NS člen dodávky,lehk.nák.auta zran.při neprovoz.neh.bez srážky;j.práce",
V5834,"NS čl.dodávky,lehk.nák.auta zran.při neprov.neh.bez srážky;odpoč.,jíd.",
V5838,"NS čl.dodávky,lehk.nák.auta zran.při neprov.neh.bez srážky;j.urč.činn.",
V5839,"NS člen dodávky,lehk.nákl.auta zran.při neprov.neh.bez srážky;NS činn.",
V584,"Člen dodávky, lehk.nákl.auta zran. při nastup. nebo vystup. bez srážky",
V5840,"Člen dodávky,lehk.nákl.auta zran.při nastup.,vyst.bez srážky; sport",
V5841,"Člen dodávky,lehk.nákl.auta zran.při nastup.,vyst.bez srážky;volný čas",
V5842,"Člen dodávky,lehk.nákl.auta zran.při nast.,vyst.bez srážky;výděl.činn.",
V5843,"Člen dodávky,lehk.nákl.auta zran.při nast.,vyst.bez srážky; jiné práce",
V5844,"Člen dodávky,lehk.nák.auta zran.při nast.,vyst.bez srážky;odpoč.,jídlo",
V5848,"Člen dodávky,lehk.nákl.auta zran.při nast.,vyst.bez srážky;j.urč.činn.",
V5849,"Člen dodávky,lehk.nákl.auta zran.při nast.,vyst.bez srážky;NS činnosti",
V585,"Řidič dodávky, lehk.nákl.auta zraněný při provozní nehodě bez srážky",
V5850,"Řidič dodávky,lehk.nákl.auta zraněný při provoz.neh.bez srážky;sport",
V5851,"Řidič dodávky,lehk.nákl.auta zran.při provoz.neh.bez srážky;volný čas",
V5852,"Řidič dodávky,lehk.nákl.auta zran.při prov.neh.bez srážky;výděl.činn.",
V5853,"Řidič dodávky,lehk.nákl.auta zran.při provoz.neh.bez srážky;jiné práce",
V5854,"Řidič dodáv.,lehk.nákl.auta zran.při prov.neh.bez srážky;odpoč.,jídlo",
V5858,"Řidič dodávky,lehk.nák.auta zran.při provoz.neh.bez srážky;j.urč.činn.",
V5859,"Řidič dodávky,lehk.nákl.auta zran.při provoz.neh.bez srážky; NS činn.",
V586,"Cestující z dodávky, lehk.nákl.auta zraněný při provoz.neh. bez srážky",
V5860,"Cest.z dodávky,lehk.nákl.auta zran.při provoz.neh. bez srážky; sport",
V5861,"Cest.z dodáv.,lehk.nákl.auta zran.při provoz.neh.bez srážky;volný čas",
V5862,"Cest.z dodáv.,lehk.nák.auta zran.při provoz.neh.bez srážky;výděl.činn.",
V5863,"Cest.z dodávky,lehk.nákl.auta zran.při provoz.neh.bez srážky; j.práce",
V5864,"Cest.z dodávky,lehk.nák.auta zran.při prov.neh.bez srážky;odpoč.,jídlo",
V5868,"Cest.z dodávky,lehk.nákl.auta zran.při prov.neh.bez srážky;j.urč.činn.",
V5869,"Cest.z dodávky,lehk.nákl.auta zran.při provoz.neh.bez srážky; NS činn.",
V587,"Osoba vně dodávky,lehk.nákl.auta zran.při provozní nehodě bez srážky",
V5870,"Os.vně dodávky,lehk.nákl.auta zran.při provoz.neh.bez srážky; sport",
V5871,"Os.vně dodávky,lehk.nákl.auta zran.při provoz.neh.bez srážky;volný čas",
V5872,"Os.vně dodávky,lehk.nákl.auta zran.při prov.neh.bez srážky;výděl.činn.",
V5873,"Os.vně dodávky,lehk.nákl.auta zran.při provoz.neh.bez srážky; j.práce",
V5874,"Os.vně dodávky,lehk.nák.auta zran.při prov.neh.bez srážky;odpoč.,jídlo",
V5878,"Os.vně dodávky,lehk.nákl.auta zran.při prov.neh.bez srážky;j.urč.činn.",
V5879,"Os.vně dodávky,lehk.nákl.auta zran.při provoz.neh.bez srážky; NS činn.",
V589,"Neurč. člen dodávky, lehk.nákl.auta zran.při provozní neh. bez srážky",
V5890,"NS člen dodávky,lehk.nákl.auta zran.při provoz.neh.bez srážky; sport",
V5891,"NS člen dodávky,lehk.nák.auta zran.při provoz.neh.bez srážky;volný čas",
V5892,"NS člen dodávky,lehk.nák.auta zran.při prov.neh.bez srážky;výděl.činn.",
V5893,"NS člen dodávky,lehk.nák.auta zran.při provoz.neh.bez srážky; j.práce",
V5894,"NS čl.dodávky,lehk.nákl.auta zran.při prov.neh.bez srážky;odpoč.,jídlo",
V5898,"NS člen dodávky,lehk.nák.auta zran.při prov.neh.bez srážky;j.urč.činn.",
V5899,"NS člen dodávky,lehk.nákl.auta zran.při provoz.neh.bez srážky;NS činn.",
V59,"Člen osádky dodávky, lehk.nákl.auta zran.při jiných a NS dopr.nehodách",
V590,"Řidič dodávky,lehk.nákl.auta x jiná a neurč.motor. voz.; neprovoz.neh.",
V5900,"Řidič dodávky,lehk.nák.auta x j. a NS mot.voz.; neprovoz.nehoda; sport",
V5901,"Řidič dodávky,lehk.nák.auta x j. a NS mot.voz.;neprovoz.neh.;volný čas",
V5902,"Řidič dodávky,lehk.nák.auta x j. a NS mot.voz.;neprov.neh.;výděl.činn.",
V5903,"Řidič dodávky,lehk.nák.auta x j. a NS mot.voz.;neprovoz.neh.; j.práce",
V5904,"Řidič dodávky,lehk.nák.auta x j. a NS mot.voz.;neprov.neh.;odpoč.,jíd.",
V5908,"Řidič dodávky,lehk.nák.auta x j. a NS mot.voz.;neprov.neh.;j.urč.činn.",
V5909,"Řidič dodávky,lehk.nák.auta x j. a NS mot.voz.;neprov.neh.;NS činnosti",
V591,"Cestující z dodávky, lehk.nákl.auta x jiná a NS mot.voz.;neprovoz.neh.",
V5910,"Cest.z dodávky,lehk.nák.auta x j. a NS mot.voz.; neprovoz.nehoda;sport",
V5911,"Cest.z dodávky,lehk.nák.auta x j. a NS mot.voz.;neprov.neh.; volný čas",
V5912,"Cest.z dodávky,lehk.nák.auta x j.a NS mot.voz.;neprov.neh.;výděl.činn.",
V5913,"Cest.z dodávky,lehk.nák.auta x j. a NS mot.voz.;neprov.neh.;jiné práce",
V5914,"Cest.z dodávky,lehk.nák.auta x j.a NS mot.voz.;neprov.neh.;odpoč.,jíd.",
V5918,"Cest.z dodávky,lehk.nák.auta x j.a NS mot.voz.;neprov.neh.;j.urč.činn.",
V5919,"Cest.z dodávky,lehk.nák.auta x j.a NS mot.voz.;neprov.neh.;NS činnosti",
V592,"Neurč.člen os. dodávky,lehk.nákl.auta x jiná a NS mot.voz.;neprov.neh.",
V5920,"NS člen dodávky,lehk.nák.auta x j. a NS mot.voz.; neprovoz.neh.; sport",
V5921,"NS člen dodávky,lehk.nák.auta x j. a NS mot.voz.;neprov.neh.;volný čas",
V5922,"NS člen dodávky,leh.nák.auta x j.a NS mot.voz.;neprov.neh.;výděl.činn.",
V5923,"NS člen dodávky,lehk.nák.auta x j. a NS mot.voz.; neprov.neh.; j.práce",
V5924,"NS člen dodávky,leh.nák.auta x j.a NS mot.voz.;neprov.neh.;odpoč.,jíd.",
V5928,"NS člen dodávky,leh.nák.auta x j.a NS mot.voz.;neprov.neh.;j.urč.činn.",
V5929,"NS člen dodávky,lehk.nák.auta x j. a NS mot.voz.;neprov.neh.; NS činn.",
V593,"Člen osádky dodávky, lehk.nákl.auta zraněný při neurč.neprovoz.neh.",
V5930,"Člen dodávky, lehk.nákl.auta zraněný při NS neprovoz.nehodě; sport",
V5931,"Člen dodávky, lehk.nákl.auta zraněný při NS neprovoz.neh.;volný čas",
V5932,"Člen dodávky, lehk.nákl.auta zran.při NS neprov.neh.; výděl.činnost",
V5933,"Člen dodávky, lehk.nákl.auta zran. při NS neprovoz.neh.; jiné práce",
V5934,"Člen dodávky, lehk.nákl.autazran.při NS neprov.neh.;odpočinek,jídlo",
V5938,"Člen dodávky, lehk.nákl.auta zran.při NS neprov.neh.;j.urč.činnosti",
V5939,"Člen dodávky, lehk.nákl.auta zran.při NS neprovoz.neh.; NS činnosti",
V594,"Řidič dodávky, lehk.nákl.auta x jiná a neurč.motor.voz.; provozní neh.",
V5940,"Řidič dodávky,lehk.nákl.auta x jiná a NS mot.voz.;provoz.nehoda; sport",
V5941,"Řidič dodávky,lehk.nák.auta x jiná a NS mot.voz.;provoz.neh.;volný čas",
V5942,"Řidič dodávky,lehk.nák.auta x j. a NS mot.voz.;provoz.neh.;výděl.činn.",
V5943,"Řidič dodávky,lehk.nák.auta x j. a NS mot.voz.;provoz.neh.; jiné práce",
V5944,"Řidič dodávky,lehk.nák.auta x j. a NS mot.voz.;provoz.neh.;odpoč.,jíd.",
V5948,"Řidič dodávky,lehk.nák.auta x j. a NS mot.voz.;provoz.neh.;j.urč.činn.",
V5949,"Řidič dodávky,lehk.nák.auta x j. a NS mot.voz.;provoz.neh.;NS činnosti",
V595,"Cestující z dodávky,lehk.nákl.auta x jiná a neurč.mot.voz.;provoz.neh.",
V5950,"Cest.z dodávky,lehk.nák.auta x j. a NS mot.voz.; provoz.nehoda; sport",
V5951,"Cest.z dodávky,lehk.nák.auta x j. a NS mot.voz.; provoz.neh.;volný čas",
V5952,"Cest.z dodávky,lehk.nák.auta x j.a NS mot.voz.;provoz.neh.;výděl.činn.",
V5953,"Cest.z dodávky,lehk.nák.auta x j. a NS mot.voz.;provoz.neh.;jiné práce",
